formation_energy_peratom,MagpieData_minimum_Number,MagpieData_maximum_Number,MagpieData_range_Number,MagpieData_maximum_MeltingT,MagpieData_mean_MeltingT,MagpieData_avg_dev_MeltingT,MagpieData_range_Column,MagpieData_maximum_Electronegativity,MagpieData_minimum_NsValence,MagpieData_maximum_NsValence,MagpieData_minimum_NpValence,MagpieData_range_NpValence,MagpieData_mean_NdValence,MagpieData_minimum_NfValence,MagpieData_range_NfValence,MagpieData_mean_NfValence,MagpieData_maximum_NValence,MagpieData_range_NValence,MagpieData_avg_dev_NValence,MagpieData_minimum_NpUnfilled,MagpieData_minimum_NdUnfilled,MagpieData_mean_NdUnfilled,MagpieData_mode_NdUnfilled,MagpieData_maximum_NfUnfilled,MagpieData_minimum_NUnfilled,MagpieData_mode_NUnfilled,MagpieData_minimum_GSbandgap,MagpieData_maximum_GSbandgap,MagpieData_range_GSbandgap,MagpieData_maximum_GSmagmom,compound_possible,target
-0.23465,22.0,51.0,29.0,1941.0,1616.695,356.45750000000004,11.0,2.05,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,15.0,11.0,3.125,0.0,0.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,2.1106628,0.0,0
-1.32195,17.0,78.0,61.0,2041.4,410.65777777777777,362.3871604938272,16.0,3.16,1.0,2.0,0.0,5.0,1.0,0.0,14.0,1.5555555555555556,24.0,23.0,3.654320987654321,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,0
-3.61377,8.0,70.0,62.0,1092.0,573.4,518.6,13.0,3.44,2.0,2.0,0.0,4.0,0.0,0.0,14.0,7.0,16.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.22603,1.0,22.0,21.0,1941.0,359.42333333333335,460.5511111111111,3.0,2.2,1.0,2.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,4.0,3.0,0.5555555555555556,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,7.853,7.853,2.25333333333e-05,0.0,0
-1.06573,17.0,81.0,64.0,577.0,298.7422222222222,169.52296296296294,4.0,3.16,2.0,2.0,1.0,4.0,3.333333333333333,0.0,14.0,3.111111111111111,27.0,20.0,6.962962962962963,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,0
-1.06579,35.0,56.0,21.0,1828.05,1023.4625,402.2937500000001,15.0,2.96,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,17.0,15.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457,1.457,0.0,0.0,1
-0.8307300000000001,17.0,81.0,64.0,2041.4,469.44444444444446,397.1259259259259,7.0,3.16,1.0,2.0,0.0,5.0,3.2222222222222223,0.0,14.0,4.666666666666667,27.0,20.0,8.444444444444445,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,1
-1.00223,11.0,52.0,41.0,722.66,488.1333333333334,156.35111111111112,15.0,2.1,1.0,2.0,0.0,4.0,3.333333333333333,0.0,0.0,0.0,16.0,15.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.464,0.464,0.0,1.0,0
-1.56827,35.0,56.0,21.0,1000.0,792.395,263.2975,15.0,2.96,2.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,17.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457,1.457,0.0,1.0,1
-1.15601,11.0,34.0,23.0,494.0,411.91333333333336,54.72444444444445,15.0,2.55,1.0,2.0,0.0,4.0,3.333333333333333,0.0,0.0,0.0,16.0,15.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.799,0.799,0.0,1.0,0
-1.37744,17.0,82.0,65.0,600.61,250.57,105.29333333333336,16.0,3.16,1.0,2.0,0.0,5.0,1.1111111111111112,0.0,14.0,1.5555555555555556,28.0,27.0,4.444444444444445,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,1
