true_label,pred_label,predict_proba
0,0,0.00
0,0,0.00
1,0,0.09
1,1,0.75
1,1,1.00
0,0,0.02
0,0,0.42
0,0,0.36
0,0,0.06
1,1,0.93
0,0,0.17
0,0,0.15
0,0,0.07
0,0,0.08
1,1,1.00
1,1,0.99
1,1,0.99
1,1,0.97
1,1,0.98
0,1,0.81
0,0,0.00
0,0,0.13
1,1,0.87
1,1,0.83
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,1,0.96
0,0,0.01
1,1,0.68
0,0,0.17
0,0,0.00
0,1,0.62
0,0,0.00
0,0,0.04
0,0,0.04
1,1,0.85
0,0,0.18
0,0,0.04
0,0,0.35
1,1,0.67
0,0,0.32
0,0,0.00
0,0,0.00
0,1,0.94
0,1,0.71
0,0,0.02
0,0,0.00
1,0,0.28
0,0,0.00
0,0,0.18
0,0,0.16
0,0,0.01
0,0,0.00
0,0,0.35
1,1,1.00
0,0,0.09
0,0,0.00
0,0,0.00
0,0,0.33
1,1,1.00
0,0,0.00
1,1,0.96
0,0,0.00
0,0,0.31
0,0,0.16
0,0,0.22
0,0,0.01
0,1,0.73
0,0,0.05
0,0,0.00
1,0,0.48
0,0,0.15
0,0,0.04
1,0,0.15
1,1,0.89
0,1,0.99
1,0,0.17
0,0,0.06
0,0,0.45
0,1,0.62
0,1,0.51
0,0,0.00
0,0,0.01
0,0,0.43
1,1,0.99
1,0,0.20
0,0,0.21
1,1,0.99
0,0,0.21
1,0,0.21
0,0,0.30
0,0,0.07
1,1,0.80
0,1,0.57
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.22
0,1,0.60
1,1,1.00
0,0,0.10
0,0,0.00
1,0,0.03
0,0,0.36
1,1,0.80
0,0,0.01
0,1,0.63
1,1,0.98
0,0,0.03
1,0,0.34
1,1,0.51
0,0,0.20
0,0,0.08
0,0,0.01
0,0,0.19
1,1,0.63
1,1,1.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,1,0.95
0,1,0.84
0,0,0.08
1,1,0.66
0,0,0.00
1,1,0.94
0,0,0.01
0,0,0.02
0,0,0.32
0,0,0.00
0,0,0.00
1,0,0.24
0,1,0.93
0,0,0.05
0,1,0.93
1,1,0.90
1,0,0.46
1,1,1.00
1,1,1.00
1,1,1.00
1,1,1.00
1,1,1.00
0,0,0.00
