true_label,pred_label,predict_proba
0,0,0.01
1,1,1.00
0,0,0.20
1,1,0.74
1,1,0.99
0,0,0.24
1,0,0.42
0,0,0.06
1,1,0.57
0,0,0.01
0,0,0.35
1,0,0.03
0,0,0.47
0,0,0.01
0,1,0.60
0,0,0.08
0,0,0.00
1,1,0.65
0,0,0.38
1,1,0.98
0,1,0.53
0,0,0.03
1,1,0.76
1,1,0.88
0,0,0.01
0,0,0.02
0,0,0.00
1,1,0.93
0,0,0.00
1,0,0.49
0,0,0.29
0,0,0.01
0,0,0.10
0,1,0.78
0,0,0.02
0,0,0.01
0,0,0.00
0,0,0.02
0,0,0.02
0,1,0.93
0,0,0.46
1,0,0.36
0,0,0.14
0,1,0.83
0,0,0.00
0,0,0.41
0,0,0.43
0,0,0.12
0,0,0.18
0,0,0.20
1,1,0.83
0,0,0.02
0,0,0.00
0,0,0.00
1,1,0.58
0,0,0.47
1,0,0.13
1,1,0.99
0,0,0.02
0,0,0.04
1,1,0.93
0,0,0.00
0,0,0.30
1,1,0.72
0,0,0.00
1,0,0.18
0,0,0.16
1,1,0.95
0,0,0.01
0,0,0.00
0,0,0.01
1,0,0.32
1,1,1.00
0,0,0.08
1,0,0.11
1,1,0.79
0,0,0.00
0,0,0.39
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.41
1,0,0.31
1,0,0.14
1,0,0.06
1,1,1.00
1,1,1.00
0,0,0.21
0,1,0.76
1,1,1.00
0,0,0.09
0,0,0.02
1,1,1.00
0,0,0.03
1,1,0.93
0,0,0.41
1,1,1.00
0,1,0.52
0,0,0.21
0,0,0.27
0,0,0.26
1,1,0.96
0,0,0.21
0,0,0.00
1,1,0.96
0,0,0.09
0,0,0.03
0,0,0.10
0,0,0.00
1,1,0.84
0,0,0.04
0,0,0.26
0,0,0.00
0,0,0.01
1,1,0.83
0,0,0.50
0,0,0.16
1,0,0.18
0,0,0.47
0,0,0.04
0,0,0.01
1,0,0.00
1,1,1.00
0,0,0.02
0,0,0.00
0,0,0.09
0,0,0.17
0,0,0.00
1,1,0.62
0,0,0.23
0,0,0.03
0,0,0.00
1,0,0.50
1,1,1.00
0,0,0.21
0,0,0.48
0,0,0.00
0,0,0.00
1,1,0.91
0,0,0.09
0,0,0.22
0,0,0.00
1,1,0.83
0,0,0.00
0,0,0.50
0,0,0.00
1,1,0.99
0,0,0.00
