true_label,pred_label,predict_proba
0,0,0.00
1,1,0.90
0,0,0.04
0,1,0.90
0,0,0.24
0,1,0.74
0,0,0.00
0,0,0.17
0,0,0.00
0,0,0.00
0,0,0.04
0,0,0.00
1,1,0.64
1,1,1.00
1,1,1.00
1,1,0.94
0,0,0.44
1,0,0.26
1,1,1.00
1,1,0.99
0,0,0.00
0,0,0.07
1,1,0.99
0,0,0.01
1,1,1.00
0,0,0.14
0,0,0.00
0,0,0.46
0,0,0.01
1,1,0.99
1,1,0.99
1,1,0.99
0,0,0.00
1,1,0.99
1,1,1.00
1,1,0.75
1,1,0.98
0,0,0.00
1,1,0.83
1,1,0.99
1,1,1.00
1,1,1.00
0,1,0.98
1,1,1.00
0,0,0.01
1,1,1.00
0,0,0.00
0,0,0.02
1,1,0.99
1,1,1.00
0,0,0.00
0,0,0.18
1,1,0.71
0,0,0.01
1,1,0.63
0,0,0.00
0,0,0.00
1,1,1.00
0,0,0.01
1,1,0.75
0,0,0.00
0,0,0.01
0,0,0.00
1,1,1.00
1,1,1.00
0,0,0.00
0,1,0.94
1,1,1.00
0,1,0.87
1,1,0.99
1,1,1.00
1,1,0.95
0,0,0.08
1,1,0.89
1,1,0.75
0,0,0.00
0,0,0.00
0,0,0.00
1,0,0.03
0,0,0.00
0,0,0.11
0,0,0.06
1,0,0.40
1,0,0.00
0,0,0.00
0,0,0.00
1,0,0.28
0,0,0.00
0,0,0.01
0,0,0.01
1,0,0.00
1,1,0.90
0,0,0.00
0,0,0.00
0,0,0.00
1,0,0.02
0,0,0.00
0,0,0.00
1,1,0.97
0,0,0.06
1,1,0.97
1,0,0.25
0,0,0.08
0,0,0.40
0,0,0.02
1,0,0.10
0,0,0.00
0,0,0.01
0,0,0.00
1,1,0.99
0,1,0.98
0,0,0.01
0,0,0.01
1,1,0.85
0,0,0.01
0,0,0.05
1,1,0.84
0,1,0.92
0,0,0.00
0,0,0.00
0,0,0.00
0,1,0.51
0,0,0.00
0,0,0.00
0,0,0.00
1,1,1.00
1,1,0.97
0,0,0.00
0,1,0.73
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.06
1,1,0.98
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,1,0.67
0,0,0.30
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.03
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.01
1,0,0.03
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.03
0,0,0.03
0,0,0.00
0,0,0.06
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.03
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,0,0.07
0,0,0.01
0,0,0.10
0,0,0.01
1,0,0.01
0,0,0.05
0,0,0.00
0,0,0.04
0,0,0.00
0,0,0.00
0,0,0.00
1,1,0.96
1,1,0.86
1,1,0.81
1,1,1.00
1,1,0.99
0,0,0.01
0,0,0.40
0,0,0.00
1,1,1.00
0,0,0.00
0,0,0.00
1,1,1.00
1,1,1.00
1,1,0.92
1,0,0.00
0,0,0.07
1,1,0.99
1,0,0.07
1,1,0.97
0,0,0.01
1,1,1.00
0,0,0.01
1,1,0.62
0,0,0.02
1,1,1.00
0,0,0.00
1,1,0.93
0,0,0.00
1,1,1.00
1,1,0.99
1,1,1.00
0,0,0.00
0,1,1.00
0,0,0.26
0,0,0.00
0,1,0.88
0,0,0.04
0,0,0.13
0,0,0.00
1,1,0.92
1,0,0.06
0,1,0.88
0,0,0.00
1,1,0.68
1,1,0.97
1,1,0.98
0,0,0.00
0,0,0.11
0,0,0.31
1,1,0.84
1,1,0.99
0,0,0.04
0,0,0.00
