true_label,pred_label,predict_proba
1,1,0.87
0,0,0.00
1,1,0.55
0,0,0.00
1,1,0.74
0,0,0.30
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.30
0,0,0.08
0,0,0.00
1,1,0.96
1,0,0.02
1,1,0.67
0,1,0.79
0,0,0.10
1,1,0.51
0,1,1.00
1,1,0.97
1,1,0.93
1,1,1.00
1,1,1.00
1,1,1.00
0,0,0.06
0,0,0.00
1,0,0.28
1,1,0.95
1,1,0.95
0,1,0.97
0,0,0.00
0,0,0.01
0,0,0.00
1,1,0.92
1,1,1.00
1,1,1.00
1,0,0.13
0,0,0.00
1,1,0.62
1,1,0.98
1,0,0.08
1,1,0.97
0,1,1.00
0,0,0.00
0,0,0.00
0,1,0.98
1,1,0.96
1,1,1.00
1,1,0.94
1,1,1.00
0,0,0.35
1,1,0.96
0,0,0.20
1,1,1.00
1,1,1.00
1,1,1.00
1,0,0.30
1,1,0.99
1,1,0.99
1,1,0.97
1,1,0.99
1,1,1.00
1,1,0.94
1,1,0.98
1,1,1.00
1,1,0.99
1,1,0.99
0,0,0.00
0,0,0.02
0,0,0.20
0,0,0.00
0,1,0.80
1,1,0.95
1,1,0.90
0,0,0.13
1,1,1.00
0,1,1.00
0,1,0.95
1,1,0.64
0,1,0.74
0,0,0.02
0,0,0.00
0,0,0.11
1,1,0.59
1,1,0.74
1,1,0.98
0,0,0.27
1,1,0.98
0,0,0.21
1,1,1.00
1,1,0.99
0,0,0.30
0,0,0.01
0,0,0.02
0,0,0.10
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.26
0,0,0.00
0,0,0.00
0,0,0.13
0,0,0.01
1,1,0.53
0,1,0.94
0,0,0.00
1,1,0.94
1,1,1.00
1,0,0.03
0,0,0.00
0,1,0.98
0,0,0.28
1,1,0.99
0,0,0.00
0,0,0.02
0,0,0.43
1,0,0.03
0,0,0.00
0,0,0.00
1,0,0.28
0,0,0.03
0,0,0.00
0,0,0.00
0,0,0.00
0,1,0.70
0,0,0.27
0,0,0.01
0,0,0.00
1,1,0.61
0,0,0.17
0,0,0.02
0,0,0.15
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.06
0,0,0.11
0,0,0.03
0,0,0.03
0,0,0.00
0,0,0.00
0,0,0.06
0,0,0.18
0,0,0.00
0,0,0.18
0,0,0.03
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,0,0.01
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.37
0,0,0.03
1,1,0.99
0,0,0.00
1,0,0.16
0,0,0.03
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.15
0,0,0.00
0,0,0.00
0,0,0.06
1,1,0.98
0,1,0.62
0,0,0.00
0,0,0.37
0,0,0.03
0,0,0.01
1,0,0.13
0,1,0.96
0,0,0.00
0,1,0.58
0,0,0.13
0,0,0.00
0,0,0.00
1,1,0.97
1,1,0.93
1,1,1.00
0,1,0.94
1,1,0.64
0,1,0.90
1,1,0.54
1,1,0.98
0,0,0.00
0,0,0.07
1,1,0.98
1,1,0.97
1,1,0.96
0,0,0.32
0,0,0.03
0,0,0.00
1,1,0.97
1,1,1.00
1,1,0.96
0,0,0.00
1,1,0.94
1,1,0.89
0,0,0.47
0,0,0.00
0,0,0.08
1,0,0.05
0,0,0.21
1,1,0.98
0,0,0.32
0,0,0.00
0,0,0.00
0,0,0.48
1,0,0.09
1,0,0.31
1,1,0.77
0,0,0.22
0,0,0.00
1,0,0.17
0,0,0.01
0,1,0.98
