true_label,pred_label,predict_proba
1,1,0.53
1,1,0.96
0,0,0.04
0,0,0.07
0,1,0.97
0,0,0.06
0,0,0.00
0,0,0.00
0,0,0.03
1,1,0.99
0,0,0.25
0,0,0.00
0,0,0.00
0,0,0.09
0,0,0.08
0,0,0.00
1,1,1.00
1,0,0.00
1,1,1.00
0,0,0.00
1,1,1.00
0,0,0.05
0,0,0.36
1,1,0.99
1,0,0.41
1,1,1.00
0,0,0.03
1,1,1.00
1,1,0.98
1,1,0.74
1,1,0.98
1,1,0.51
1,1,1.00
1,0,0.31
1,1,0.99
0,0,0.12
1,1,0.93
1,1,1.00
0,0,0.00
1,1,0.98
1,1,0.99
1,1,0.99
1,1,0.88
1,1,0.99
1,1,0.99
1,1,1.00
1,1,0.90
0,1,0.78
1,1,0.57
0,0,0.02
1,0,0.50
1,1,0.99
1,1,0.98
1,1,0.75
1,1,0.97
0,0,0.00
0,0,0.01
1,1,1.00
1,1,0.97
1,1,1.00
1,1,1.00
1,1,0.99
1,1,0.97
1,1,1.00
0,0,0.44
1,1,0.72
0,0,0.01
0,1,0.94
0,0,0.00
0,1,0.90
1,1,0.99
1,1,0.99
1,1,0.95
0,0,0.06
0,1,0.98
0,1,0.92
0,1,0.80
0,0,0.14
0,0,0.34
0,0,0.00
1,1,1.00
1,1,0.92
1,1,0.99
1,1,0.99
1,1,1.00
0,0,0.05
1,1,0.97
0,0,0.01
0,0,0.39
0,0,0.24
0,0,0.11
1,1,0.92
1,0,0.01
0,1,0.64
0,0,0.22
0,0,0.15
0,0,0.22
0,0,0.09
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.13
0,0,0.00
0,0,0.05
0,0,0.06
0,0,0.00
0,0,0.00
0,1,0.82
0,0,0.00
0,0,0.00
0,0,0.04
1,1,1.00
1,1,0.99
1,1,0.96
0,0,0.01
0,0,0.00
0,0,0.20
0,0,0.00
1,1,0.95
1,1,0.79
0,1,0.99
1,1,0.90
1,1,1.00
0,0,0.07
0,0,0.22
0,0,0.04
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
1,0,0.25
0,0,0.17
0,0,0.20
0,0,0.05
0,0,0.08
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.20
0,0,0.00
0,0,0.02
0,0,0.01
0,0,0.02
0,0,0.04
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,1,0.88
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,1,0.57
0,0,0.00
0,0,0.01
0,0,0.24
0,0,0.07
1,0,0.31
1,0,0.10
1,0,0.45
0,0,0.00
0,0,0.19
0,0,0.00
0,0,0.01
0,1,0.61
0,0,0.17
0,0,0.07
0,0,0.00
0,0,0.04
1,1,0.63
0,0,0.00
1,1,0.96
1,1,1.00
1,1,0.80
1,1,0.98
0,0,0.32
0,0,0.02
0,0,0.01
1,1,0.99
0,0,0.00
0,0,0.05
1,1,0.99
0,0,0.13
1,0,0.30
1,1,0.75
1,1,0.95
1,1,0.53
1,1,0.58
1,1,0.84
0,0,0.33
1,0,0.24
0,0,0.01
0,0,0.22
0,0,0.10
1,0,0.10
0,0,0.02
0,0,0.00
1,1,0.89
1,0,0.07
1,1,0.93
0,0,0.01
1,1,0.97
0,0,0.00
0,0,0.00
0,0,0.28
1,0,0.10
0,0,0.03
0,0,0.00
1,1,0.62
0,0,0.18
0,0,0.05
0,0,0.09
0,0,0.02
